代码,    名称,现价,所属行业,总市值,流通市值,
SZ300309,吉艾科技,2.83,保险及其他,2507730300,2170050700,
SZ300310,宜通世纪,5.79,通信设备,5104802900,3937299900,
SZ300311,任子行,7.46,计算机应用,5072716600,3807650600,
SZ300312,邦讯技术,5.02,通信设备,1606600800,960629210,
SZ300313,天山生物,4.49,养殖业,1405268500,826708240,
SZ300314,戴维医疗,10.92,医疗器械服务,3144960000,2065265000,
SZ300315,掌趣科技,5.64,传媒,15552211000,14665862000,
SZ300316,晶盛机电,23.47,电气设备,30146965000,28264944000,
SZ300317,珈伟新能,3.13,电气设备,2580008500,2291532600,
SZ300318,博晖创新,5.19,医疗器械服务,4239713600,3760342600,
SZ300319,麦捷科技,10.10,光学光电子,7040911700,6548990800,
SZ300320,海达股份,5.23,化工合成材料,3144454800,2630529000,
SZ300321,同大股份,16.48,化工合成材料,1463424000,1363592700,
SZ300322,硕贝德,16.23,电子制造,6601874700,6042352600,
SZ300323,华灿光电,6.29,光学光电子,6869695400,5233159700,
SZ300324,旋极信息,6.31,计算机应用,11061522100,7718469700,
SZ300325,德威新材,3.20,化工合成材料,3218377900,3188585700,
SZ300326,凯利泰,24.05,医疗器械服务,17387581000,16960437000,
SZ300327,中颖电子,34.52,半导体及元件,8769484600,8740840200,
SZ300328,宜安科技,13.88,有色冶炼加工,6388719700,6299818300,
SZ300329,海伦钢琴,6.98,家用轻工,1769984100,1756967800,
SZ300330,华虹计通,8.51,计算机应用,1429680000,1427295000,
SZ300331,苏大维格,26.32,光学光电子,5949605500,4353935200,
SZ300332,天壕环境,4.76,环保工程,4189756100,3976485100,
SZ300333,兆日科技,8.64,计算机设备,2903040000,2858933400,
SZ300334,津膜科技,8.55,环保工程,2582658800,2502191000,
SZ300335,迪森股份,4.54,环保工程,1647665400,1236691060,
SZ300336,新文化,4.55,传媒,3668347400,3208514700,
SZ300337,银邦股份,3.26,有色冶炼加工,2679459200,2307331400,
SZ300338,开元股份,7.67,传媒,2633027300,1986356300,
SZ300339,润和软件,9.65,计算机应用,7685364600,7211558300,
SZ300340,科恒股份,9.90,专用设备,2100232700,1701402100,
SZ300341,麦克奥迪,8.29,仪器仪表,4229254100,4224937900,
SZ300342,天银机电,18.94,白色家电,8179130500,7637231500,
SZ300343,联创股份,2.19,传媒,2573495600,1736516100,
SZ300344,太空智造,--,计算机应用,2540108100,1519573900,
SZ300345,红宇新材,6.37,通用设备,2811052200,2811052200,
SZ300346,南大光电,25.56,半导体及元件,10400130000,9411673400,
SZ300347,泰格医药,77.00,医疗器械服务,57712085000,41848504000,
SZ300348,长亮科技,25.35,计算机应用,12213890300,9060637900,
SZ300349,金卡智能,14.91,仪器仪表,6398171500,5642039500,
SZ300350,华鹏飞,3.54,物流,1687604500,1089728830,
SZ300351,永贵电器,7.87,非汽车交运,3019261400,1883245300,
SZ300352,北信源,7.09,计算机应用,10279252800,7781022600,
SZ300353,东土科技,10.05,通信设备,5135358000,3689724600,
SZ300354,东华测试,11.00,仪器仪表,1521522200,846254610,
SZ300355,蒙草生态,2.88,环保工程,4620217200,3764626400,
SZ300356,光一科技,5.68,电气设备,2316898200,2122712500,
SZ300357,我武生物,52.11,生物制品,27283962000,23844513000,
SZ300358,楚天科技,6.88,医疗器械服务,3219065100,3146685400,
SZ300359,全通教育,5.40,传媒,3424158500,2881148700,
SZ300360,炬华科技,12.00,电气设备,4655881200,3731069700,
SZ300362,天翔环境,--,专用设备,651128790,469937910,
SZ300363,博腾股份,28.24,化学制药,15327190000,12539707900,
SZ300364,中文在线,4.55,传媒,3309193700,2875266600,
SZ300365,恒华科技,10.90,计算机应用,6603644800,3744366800,
SZ300366,创意信息,9.25,计算机应用,4861579400,3162867200,
SZ300367,东方网力,3.00,计算机应用,3587317500,2517406800,
SZ300368,汇金股份,9.39,计算机设备,4994949200,4484202400,
SZ300369,绿盟科技,21.25,计算机应用,16960000000,15426999000,
SZ300370,安控科技,2.77,仪器仪表,2651295400,2001164500,
SZ300371,汇中股份,13.22,仪器仪表,2217754400,1437959400,
SZ300373,扬杰科技,26.36,半导体及元件,12445001300,12404697700,
SZ300374,恒通科技,8.90,建筑材料,2188619800,1516708000,
SZ300375,鹏翎股份,3.56,汽车零部件,2665526400,1557980700,
SZ300376,易事特,5.29,电气设备,12271874400,12210628600,
SZ300377,赢时胜,10.20,计算机应用,7569339200,5778448900,
SZ300378,鼎捷软件,13.18,计算机应用,3507350300,3489356600,
SZ300379,东方通,43.05,计算机应用,12109780200,10105614100,
SZ300380,安硕信息,17.45,计算机应用,2398328000,2114960500,
SZ300381,溢多利,11.32,生物制品,5159210600,5053313600,
SZ300382,斯莱克,6.34,专用设备,3579370100,3579003500,
SZ300383,光环新网,27.25,通信设备,42050563000,40931140000,
